Date,Habit 1,Habit 2,Habit 3,Habit 4,Habit 5,Habit 6,Habit 7,Habit 8,Habit 9,Habit 10,
2022-01-06,Entry(timestamp=2022-01-06, value=0),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=0),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),
2021-12-26,Entry(timestamp=2021-12-26, value=0),Entry(timestamp=2021-12-26, value=2),Entry(timestamp=2021-12-26, value=0),Entry(timestamp=2021-12-26, value=0),Entry(timestamp=2021-12-26, value=2),Entry(timestamp=2021-12-26, value=2),Entry(timestamp=2021-12-26, value=2),Entry(timestamp=2021-12-26, value=0),Entry(timestamp=2021-12-26, value=0),Entry(timestamp=2021-12-26, value=0),
2021-12-25,Entry(timestamp=2021-12-25, value=2),Entry(timestamp=2021-12-25, value=2),Entry(timestamp=2021-12-25, value=2),Entry(timestamp=2021-12-25, value=0),Entry(timestamp=2021-12-25, value=0),Entry(timestamp=2021-12-25, value=2),Entry(timestamp=2021-12-25, value=0),Entry(timestamp=2021-12-25, value=0),Entry(timestamp=2021-12-25, value=2),Entry(timestamp=2021-12-25, value=2),
2021-12-24,Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=2),Entry(timestamp=2021-12-24, value=0),Entry(timestamp=2021-12-24, value=0),Entry(timestamp=2021-12-24, value=2),
2021-12-23,Entry(timestamp=2021-12-23, value=2),Entry(timestamp=2021-12-23, value=0),Entry(timestamp=2021-12-23, value=2),Entry(timestamp=2021-12-23, value=2),Entry(timestamp=2021-12-23, value=0),Entry(timestamp=2021-12-23, value=2),Entry(timestamp=2021-12-23, value=2),Entry(timestamp=2021-12-23, value=2),Entry(timestamp=2021-12-23, value=0),Entry(timestamp=2021-12-23, value=2),
2021-12-22,Entry(timestamp=2021-12-22, value=2),Entry(timestamp=2021-12-22, value=0),Entry(timestamp=2021-12-22, value=0),Entry(timestamp=2021-12-22, value=2),Entry(timestamp=2021-12-22, value=2),Entry(timestamp=2021-12-22, value=2),Entry(timestamp=2021-12-22, value=2),Entry(timestamp=2021-12-22, value=0),Entry(timestamp=2021-12-22, value=2),Entry(timestamp=2021-12-22, value=2),
2021-12-21,Entry(timestamp=2021-12-21, value=2),Entry(timestamp=2021-12-21, value=0),Entry(timestamp=2021-12-21, value=2),Entry(timestamp=2021-12-21, value=0),Entry(timestamp=2021-12-21, value=2),Entry(timestamp=2021-12-21, value=0),Entry(timestamp=2021-12-21, value=0),Entry(timestamp=2021-12-21, value=0),Entry(timestamp=2021-12-21, value=2),Entry(timestamp=2021-12-21, value=2),
2021-12-20,Entry(timestamp=2021-12-20, value=2),Entry(timestamp=2021-12-20, value=0),Entry(timestamp=2021-12-20, value=2),Entry(timestamp=2021-12-20, value=2),Entry(timestamp=2021-12-20, value=2),Entry(timestamp=2021-12-20, value=0),Entry(timestamp=2021-12-20, value=0),Entry(timestamp=2021-12-20, value=2),Entry(timestamp=2021-12-20, value=2),Entry(timestamp=2021-12-20, value=0),
2021-12-19,Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=2),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=0),Entry(timestamp=2021-12-19, value=2),
2021-12-18,Entry(timestamp=2021-12-18, value=0),Entry(timestamp=2021-12-18, value=2),Entry(timestamp=2021-12-18, value=0),Entry(timestamp=2021-12-18, value=2),Entry(timestamp=2021-12-18, value=2),Entry(timestamp=2021-12-18, value=2),Entry(timestamp=2021-12-18, value=0),Entry(timestamp=2021-12-18, value=0),Entry(timestamp=2021-12-18, value=0),Entry(timestamp=2021-12-18, value=0),
2021-12-17,Entry(timestamp=2021-12-17, value=2),Entry(timestamp=2021-12-17, value=2),Entry(timestamp=2021-12-17, value=2),Entry(timestamp=2021-12-17, value=0),Entry(timestamp=2021-12-17, value=0),Entry(timestamp=2021-12-17, value=2),Entry(timestamp=2021-12-17, value=0),Entry(timestamp=2021-12-17, value=0),Entry(timestamp=2021-12-17, value=2),Entry(timestamp=2021-12-17, value=2),
2021-12-16,Entry(timestamp=2021-12-16, value=0),Entry(timestamp=2021-12-16, value=0),Entry(timestamp=2021-12-16, value=2),Entry(timestamp=2021-12-16, value=2),Entry(timestamp=2021-12-16, value=2),Entry(timestamp=2021-12-16, value=2),Entry(timestamp=2021-12-16, value=0),Entry(timestamp=2021-12-16, value=2),Entry(timestamp=2021-12-16, value=0),Entry(timestamp=2021-12-16, value=0),
2021-12-15,Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=2),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),Entry(timestamp=2021-12-15, value=0),
2021-12-14,Entry(timestamp=2021-12-14, value=2),Entry(timestamp=2021-12-14, value=0),Entry(timestamp=2021-12-14, value=2),Entry(timestamp=2021-12-14, value=2),Entry(timestamp=2021-12-14, value=0),Entry(timestamp=2021-12-14, value=0),Entry(timestamp=2021-12-14, value=0),Entry(timestamp=2021-12-14, value=0),Entry(timestamp=2021-12-14, value=2),Entry(timestamp=2021-12-14, value=2),
2021-12-13,Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=0),Entry(timestamp=2021-12-13, value=0),Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=2),Entry(timestamp=2021-12-13, value=0),
2021-12-12,Entry(timestamp=2021-12-12, value=2),Entry(timestamp=2021-12-12, value=0),Entry(timestamp=2021-12-12, value=0),Entry(timestamp=2021-12-12, value=0),Entry(timestamp=2021-12-12, value=0),Entry(timestamp=2021-12-12, value=2),Entry(timestamp=2021-12-12, value=2),Entry(timestamp=2021-12-12, value=0),Entry(timestamp=2021-12-12, value=2),Entry(timestamp=2021-12-12, value=0),
2021-12-11,Entry(timestamp=2021-12-11, value=0),Entry(timestamp=2021-12-11, value=0),Entry(timestamp=2021-12-11, value=2),Entry(timestamp=2021-12-11, value=2),Entry(timestamp=2021-12-11, value=2),Entry(timestamp=2021-12-11, value=0),Entry(timestamp=2021-12-11, value=0),Entry(timestamp=2021-12-11, value=0),Entry(timestamp=2021-12-11, value=2),Entry(timestamp=2021-12-11, value=0),
2021-12-10,Entry(timestamp=2021-12-10, value=0),Entry(timestamp=2021-12-10, value=2),Entry(timestamp=2021-12-10, value=2),Entry(timestamp=2021-12-10, value=2),Entry(timestamp=2021-12-10, value=0),Entry(timestamp=2021-12-10, value=0),Entry(timestamp=2021-12-10, value=0),Entry(timestamp=2021-12-10, value=2),Entry(timestamp=2021-12-10, value=0),Entry(timestamp=2021-12-10, value=0),
2021-12-09,Entry(timestamp=2021-12-09, value=0),Entry(timestamp=2021-12-09, value=0),Entry(timestamp=2021-12-09, value=2),Entry(timestamp=2021-12-09, value=2),Entry(timestamp=2021-12-09, value=2),Entry(timestamp=2021-12-09, value=0),Entry(timestamp=2021-12-09, value=2),Entry(timestamp=2021-12-09, value=2),Entry(timestamp=2021-12-09, value=2),Entry(timestamp=2021-12-09, value=2),
2021-12-08,Entry(timestamp=2021-12-08, value=2),Entry(timestamp=2021-12-08, value=2),Entry(timestamp=2021-12-08, value=2),Entry(timestamp=2021-12-08, value=2),Entry(timestamp=2021-12-08, value=2),Entry(timestamp=2021-12-08, value=0),Entry(timestamp=2021-12-08, value=0),Entry(timestamp=2021-12-08, value=2),Entry(timestamp=2021-12-08, value=0),Entry(timestamp=2021-12-08, value=2),
2021-12-07,Entry(timestamp=2021-12-07, value=2),Entry(timestamp=2021-12-07, value=2),Entry(timestamp=2021-12-07, value=2),Entry(timestamp=2021-12-07, value=0),Entry(timestamp=2021-12-07, value=2),Entry(timestamp=2021-12-07, value=0),Entry(timestamp=2021-12-07, value=0),Entry(timestamp=2021-12-07, value=0),Entry(timestamp=2021-12-07, value=2),Entry(timestamp=2021-12-07, value=0),
2021-12-06,Entry(timestamp=2021-12-06, value=2),Entry(timestamp=2021-12-06, value=2),Entry(timestamp=2021-12-06, value=2),Entry(timestamp=2021-12-06, value=0),Entry(timestamp=2021-12-06, value=2),Entry(timestamp=2021-12-06, value=2),Entry(timestamp=2021-12-06, value=0),Entry(timestamp=2021-12-06, value=0),Entry(timestamp=2021-12-06, value=2),Entry(timestamp=2021-12-06, value=0),
2021-12-05,Entry(timestamp=2021-12-05, value=2),Entry(timestamp=2021-12-05, value=2),Entry(timestamp=2021-12-05, value=0),Entry(timestamp=2021-12-05, value=2),Entry(timestamp=2021-12-05, value=0),Entry(timestamp=2021-12-05, value=0),Entry(timestamp=2021-12-05, value=0),Entry(timestamp=2021-12-05, value=2),Entry(timestamp=2021-12-05, value=2),Entry(timestamp=2021-12-05, value=0),
2021-12-04,Entry(timestamp=2021-12-04, value=0),Entry(timestamp=2021-12-04, value=2),Entry(timestamp=2021-12-04, value=0),Entry(timestamp=2021-12-04, value=2),Entry(timestamp=2021-12-04, value=2),Entry(timestamp=2021-12-04, value=0),Entry(timestamp=2021-12-04, value=0),Entry(timestamp=2021-12-04, value=2),Entry(timestamp=2021-12-04, value=0),Entry(timestamp=2021-12-04, value=2),
2021-12-03,Entry(timestamp=2021-12-03, value=2),Entry(timestamp=2021-12-03, value=2),Entry(timestamp=2021-12-03, value=0),Entry(timestamp=2021-12-03, value=0),Entry(timestamp=2021-12-03, value=2),Entry(timestamp=2021-12-03, value=2),Entry(timestamp=2021-12-03, value=0),Entry(timestamp=2021-12-03, value=2),Entry(timestamp=2021-12-03, value=2),Entry(timestamp=2021-12-03, value=2),
2021-12-02,Entry(timestamp=2021-12-02, value=2),Entry(timestamp=2021-12-02, value=0),Entry(timestamp=2021-12-02, value=0),Entry(timestamp=2021-12-02, value=2),Entry(timestamp=2021-12-02, value=0),Entry(timestamp=2021-12-02, value=2),Entry(timestamp=2021-12-02, value=0),Entry(timestamp=2021-12-02, value=0),Entry(timestamp=2021-12-02, value=0),Entry(timestamp=2021-12-02, value=2),
2021-12-01,Entry(timestamp=2021-12-01, value=0),Entry(timestamp=2021-12-01, value=0),Entry(timestamp=2021-12-01, value=2),Entry(timestamp=2021-12-01, value=0),Entry(timestamp=2021-12-01, value=2),Entry(timestamp=2021-12-01, value=2),Entry(timestamp=2021-12-01, value=0),Entry(timestamp=2021-12-01, value=0),Entry(timestamp=2021-12-01, value=2),Entry(timestamp=2021-12-01, value=2),
2021-11-30,Entry(timestamp=2021-11-30, value=0),Entry(timestamp=2021-11-30, value=2),Entry(timestamp=2021-11-30, value=2),Entry(timestamp=2021-11-30, value=0),Entry(timestamp=2021-11-30, value=0),Entry(timestamp=2021-11-30, value=2),Entry(timestamp=2021-11-30, value=2),Entry(timestamp=2021-11-30, value=0),Entry(timestamp=2021-11-30, value=2),Entry(timestamp=2021-11-30, value=0),
2021-11-29,Entry(timestamp=2021-11-29, value=2),Entry(timestamp=2021-11-29, value=2),Entry(timestamp=2021-11-29, value=0),Entry(timestamp=2021-11-29, value=2),Entry(timestamp=2021-11-29, value=0),Entry(timestamp=2021-11-29, value=0),Entry(timestamp=2021-11-29, value=0),Entry(timestamp=2021-11-29, value=0),Entry(timestamp=2021-11-29, value=0),Entry(timestamp=2021-11-29, value=0),
2021-11-28,Entry(timestamp=2021-11-28, value=0),Entry(timestamp=2021-11-28, value=0),Entry(timestamp=2021-11-28, value=0),Entry(timestamp=2021-11-28, value=2),Entry(timestamp=2021-11-28, value=0),Entry(timestamp=2021-11-28, value=0),Entry(timestamp=2021-11-28, value=2),Entry(timestamp=2021-11-28, value=2),Entry(timestamp=2021-11-28, value=2),Entry(timestamp=2021-11-28, value=0),
2021-11-27,Entry(timestamp=2021-11-27, value=2),Entry(timestamp=2021-11-27, value=2),Entry(timestamp=2021-11-27, value=2),Entry(timestamp=2021-11-27, value=2),Entry(timestamp=2021-11-27, value=0),Entry(timestamp=2021-11-27, value=0),Entry(timestamp=2021-11-27, value=2),Entry(timestamp=2021-11-27, value=0),Entry(timestamp=2021-11-27, value=0),Entry(timestamp=2021-11-27, value=2),
2021-11-26,Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=0),Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=2),Entry(timestamp=2021-11-26, value=0),Entry(timestamp=2021-11-26, value=2),
2021-11-25,Entry(timestamp=2021-11-25, value=0),Entry(timestamp=2021-11-25, value=2),Entry(timestamp=2021-11-25, value=0),Entry(timestamp=2021-11-25, value=0),Entry(timestamp=2021-11-25, value=2),Entry(timestamp=2021-11-25, value=2),Entry(timestamp=2021-11-25, value=2),Entry(timestamp=2021-11-25, value=2),Entry(timestamp=2021-11-25, value=2),Entry(timestamp=2021-11-25, value=0),
2021-11-24,Entry(timestamp=2021-11-24, value=2),Entry(timestamp=2021-11-24, value=2),Entry(timestamp=2021-11-24, value=0),Entry(timestamp=2021-11-24, value=0),Entry(timestamp=2021-11-24, value=2),Entry(timestamp=2021-11-24, value=2),Entry(timestamp=2021-11-24, value=2),Entry(timestamp=2021-11-24, value=0),Entry(timestamp=2021-11-24, value=2),Entry(timestamp=2021-11-24, value=2),
2021-11-23,Entry(timestamp=2021-11-23, value=0),Entry(timestamp=2021-11-23, value=0),Entry(timestamp=2021-11-23, value=2),Entry(timestamp=2021-11-23, value=0),Entry(timestamp=2021-11-23, value=0),Entry(timestamp=2021-11-23, value=0),Entry(timestamp=2021-11-23, value=2),Entry(timestamp=2021-11-23, value=2),Entry(timestamp=2021-11-23, value=0),Entry(timestamp=2021-11-23, value=2),
2021-11-22,Entry(timestamp=2021-11-22, value=2),Entry(timestamp=2021-11-22, value=2),Entry(timestamp=2021-11-22, value=2),Entry(timestamp=2021-11-22, value=2),Entry(timestamp=2021-11-22, value=0),Entry(timestamp=2021-11-22, value=0),Entry(timestamp=2021-11-22, value=0),Entry(timestamp=2021-11-22, value=2),Entry(timestamp=2021-11-22, value=0),Entry(timestamp=2021-11-22, value=0),
2021-11-21,Entry(timestamp=2021-11-21, value=2),Entry(timestamp=2021-11-21, value=0),Entry(timestamp=2021-11-21, value=2),Entry(timestamp=2021-11-21, value=2),Entry(timestamp=2021-11-21, value=0),Entry(timestamp=2021-11-21, value=0),Entry(timestamp=2021-11-21, value=2),Entry(timestamp=2021-11-21, value=0),Entry(timestamp=2021-11-21, value=0),Entry(timestamp=2021-11-21, value=0),
2021-11-20,Entry(timestamp=2021-11-20, value=2),Entry(timestamp=2021-11-20, value=2),Entry(timestamp=2021-11-20, value=0),Entry(timestamp=2021-11-20, value=0),Entry(timestamp=2021-11-20, value=2),Entry(timestamp=2021-11-20, value=0),Entry(timestamp=2021-11-20, value=2),Entry(timestamp=2021-11-20, value=0),Entry(timestamp=2021-11-20, value=2),Entry(timestamp=2021-11-20, value=0),
2021-11-19,Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=0),Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=0),Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=2),Entry(timestamp=2021-11-19, value=0),
2021-11-18,Entry(timestamp=2021-11-18, value=2),Entry(timestamp=2021-11-18, value=2),Entry(timestamp=2021-11-18, value=2),Entry(timestamp=2021-11-18, value=0),Entry(timestamp=2021-11-18, value=0),Entry(timestamp=2021-11-18, value=2),Entry(timestamp=2021-11-18, value=2),Entry(timestamp=2021-11-18, value=0),Entry(timestamp=2021-11-18, value=2),Entry(timestamp=2021-11-18, value=2),
2021-11-17,Entry(timestamp=2021-11-17, value=2),Entry(timestamp=2021-11-17, value=2),Entry(timestamp=2021-11-17, value=2),Entry(timestamp=2021-11-17, value=0),Entry(timestamp=2021-11-17, value=0),Entry(timestamp=2021-11-17, value=2),Entry(timestamp=2021-11-17, value=2),Entry(timestamp=2021-11-17, value=2),Entry(timestamp=2021-11-17, value=0),Entry(timestamp=2021-11-17, value=2),
2021-11-16,Entry(timestamp=2021-11-16, value=0),Entry(timestamp=2021-11-16, value=2),Entry(timestamp=2021-11-16, value=0),Entry(timestamp=2021-11-16, value=2),Entry(timestamp=2021-11-16, value=0),Entry(timestamp=2021-11-16, value=0),Entry(timestamp=2021-11-16, value=0),Entry(timestamp=2021-11-16, value=2),Entry(timestamp=2021-11-16, value=0),Entry(timestamp=2021-11-16, value=0),
2021-11-15,Entry(timestamp=2021-11-15, value=0),Entry(timestamp=2021-11-15, value=0),Entry(timestamp=2021-11-15, value=0),Entry(timestamp=2021-11-15, value=0),Entry(timestamp=2021-11-15, value=2),Entry(timestamp=2021-11-15, value=2),Entry(timestamp=2021-11-15, value=0),Entry(timestamp=2021-11-15, value=2),Entry(timestamp=2021-11-15, value=2),Entry(timestamp=2021-11-15, value=0),
2021-11-14,Entry(timestamp=2021-11-14, value=2),Entry(timestamp=2021-11-14, value=2),Entry(timestamp=2021-11-14, value=2),Entry(timestamp=2021-11-14, value=2),Entry(timestamp=2021-11-14, value=0),Entry(timestamp=2021-11-14, value=0),Entry(timestamp=2021-11-14, value=0),Entry(timestamp=2021-11-14, value=2),Entry(timestamp=2021-11-14, value=2),Entry(timestamp=2021-11-14, value=0),
2021-11-13,Entry(timestamp=2021-11-13, value=0),Entry(timestamp=2021-11-13, value=2),Entry(timestamp=2021-11-13, value=0),Entry(timestamp=2021-11-13, value=2),Entry(timestamp=2021-11-13, value=2),Entry(timestamp=2021-11-13, value=2),Entry(timestamp=2021-11-13, value=0),Entry(timestamp=2021-11-13, value=2),Entry(timestamp=2021-11-13, value=0),Entry(timestamp=2021-11-13, value=0),
2021-11-12,Entry(timestamp=2021-11-12, value=0),Entry(timestamp=2021-11-12, value=0),Entry(timestamp=2021-11-12, value=2),Entry(timestamp=2021-11-12, value=2),Entry(timestamp=2021-11-12, value=0),Entry(timestamp=2021-11-12, value=2),Entry(timestamp=2021-11-12, value=0),Entry(timestamp=2021-11-12, value=2),Entry(timestamp=2021-11-12, value=0),Entry(timestamp=2021-11-12, value=0),
2021-11-11,Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=2),Entry(timestamp=2021-11-11, value=2),Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=0),Entry(timestamp=2021-11-11, value=0),
2021-11-10,Entry(timestamp=2021-11-10, value=0),Entry(timestamp=2021-11-10, value=0),Entry(timestamp=2021-11-10, value=0),Entry(timestamp=2021-11-10, value=0),Entry(timestamp=2021-11-10, value=0),Entry(timestamp=2021-11-10, value=2),Entry(timestamp=2021-11-10, value=0),Entry(timestamp=2021-11-10, value=2),Entry(timestamp=2021-11-10, value=2),Entry(timestamp=2021-11-10, value=2),
2021-11-09,Entry(timestamp=2021-11-09, value=0),Entry(timestamp=2021-11-09, value=2),Entry(timestamp=2021-11-09, value=2),Entry(timestamp=2021-11-09, value=0),Entry(timestamp=2021-11-09, value=2),Entry(timestamp=2021-11-09, value=0),Entry(timestamp=2021-11-09, value=2),Entry(timestamp=2021-11-09, value=2),Entry(timestamp=2021-11-09, value=0),Entry(timestamp=2021-11-09, value=0),
2021-11-08,Entry(timestamp=2021-11-08, value=2),Entry(timestamp=2021-11-08, value=0),Entry(timestamp=2021-11-08, value=0),Entry(timestamp=2021-11-08, value=0),Entry(timestamp=2021-11-08, value=2),Entry(timestamp=2021-11-08, value=0),Entry(timestamp=2021-11-08, value=0),Entry(timestamp=2021-11-08, value=2),Entry(timestamp=2021-11-08, value=0),Entry(timestamp=2021-11-08, value=0),
2021-11-07,Entry(timestamp=2021-11-07, value=0),Entry(timestamp=2021-11-07, value=2),Entry(timestamp=2021-11-07, value=0),Entry(timestamp=2021-11-07, value=2),Entry(timestamp=2021-11-07, value=2),Entry(timestamp=2021-11-07, value=2),Entry(timestamp=2021-11-07, value=2),Entry(timestamp=2021-11-07, value=0),Entry(timestamp=2021-11-07, value=0),Entry(timestamp=2021-11-07, value=0),
2021-11-06,Entry(timestamp=2021-11-06, value=0),Entry(timestamp=2021-11-06, value=0),Entry(timestamp=2021-11-06, value=2),Entry(timestamp=2021-11-06, value=2),Entry(timestamp=2021-11-06, value=0),Entry(timestamp=2021-11-06, value=2),Entry(timestamp=2021-11-06, value=2),Entry(timestamp=2021-11-06, value=0),Entry(timestamp=2021-11-06, value=2),Entry(timestamp=2021-11-06, value=0),
2021-11-05,Entry(timestamp=2021-11-05, value=0),Entry(timestamp=2021-11-05, value=2),Entry(timestamp=2021-11-05, value=0),Entry(timestamp=2021-11-05, value=2),Entry(timestamp=2021-11-05, value=0),Entry(timestamp=2021-11-05, value=0),Entry(timestamp=2021-11-05, value=0),Entry(timestamp=2021-11-05, value=2),Entry(timestamp=2021-11-05, value=2),Entry(timestamp=2021-11-05, value=0),
2021-11-04,Entry(timestamp=2021-11-04, value=2),Entry(timestamp=2021-11-04, value=0),Entry(timestamp=2021-11-04, value=2),Entry(timestamp=2021-11-04, value=0),Entry(timestamp=2021-11-04, value=0),Entry(timestamp=2021-11-04, value=2),Entry(timestamp=2021-11-04, value=0),Entry(timestamp=2021-11-04, value=0),Entry(timestamp=2021-11-04, value=2),Entry(timestamp=2021-11-04, value=2),
2021-11-03,Entry(timestamp=2021-11-03, value=2),Entry(timestamp=2021-11-03, value=0),Entry(timestamp=2021-11-03, value=0),Entry(timestamp=2021-11-03, value=2),Entry(timestamp=2021-11-03, value=0),Entry(timestamp=2021-11-03, value=2),Entry(timestamp=2021-11-03, value=0),Entry(timestamp=2021-11-03, value=0),Entry(timestamp=2021-11-03, value=2),Entry(timestamp=2021-11-03, value=0),
